,precision,recall,f1-score,support
0 - No DR,0.9397590361445783,0.8690807799442897,0.9030390738060782,359.0
1 - Mild,0.38095238095238093,0.5882352941176471,0.46242774566473993,68.0
2 - Moderate,0.5857988165680473,0.495,0.5365853658536585,200.0
3 - Severe,0.22033898305084745,0.3170731707317073,0.26,41.0
4 - Proliferative DR,0.31343283582089554,0.328125,0.3206106870229008,64.0
accuracy,0.662568306010929,0.662568306010929,0.662568306010929,0.662568306010929
macro avg,0.48805641050735,0.5195028489587288,0.49653257446947546,732.0
weighted avg,0.6960814467102419,0.662568306010929,0.6750440865324887,732.0
