,precision,recall,f1-score,support
0 - No DR,0.9971590909090909,0.9777158774373259,0.9873417721518988,359.0
1 - Mild,0.676056338028169,0.7058823529411765,0.6906474820143885,68.0
2 - Moderate,0.766497461928934,0.755,0.7607052896725441,200.0
3 - Severe,0.27472527472527475,0.6097560975609756,0.3787878787878788,41.0
4 - Proliferative DR,0.8571428571428571,0.28125,0.4235294117647058,64.0
accuracy,0.8101092896174863,0.8101092896174863,0.8101092896174863,0.8101092896174863
macro avg,0.7143162045468652,0.6659208655878956,0.6482023668782833,732.0
weighted avg,0.8516015247663186,0.8101092896174863,0.8144767326465343,732.0
