,precision,recall,f1-score,support
0 - No DR,0.9971428571428571,0.9721448467966574,0.9844851904090267,359.0
1 - Mild,0.7076923076923077,0.6764705882352942,0.6917293233082707,68.0
2 - Moderate,0.7623318385650224,0.85,0.8037825059101654,200.0
3 - Severe,0.36363636363636365,0.4878048780487805,0.4166666666666667,41.0
4 - Proliferative DR,0.7435897435897436,0.453125,0.5631067961165049,64.0
accuracy,0.8387978142076503,0.8387978142076503,0.8387978142076503,0.8387978142076503
macro avg,0.7148786221252589,0.6879090626161464,0.6919540964821269,732.0
weighted avg,0.8484461268431717,0.8387978142076503,0.8392711021975763,732.0
