,precision,recall,f1-score,support
0 - No DR,0.9971181556195965,0.9637883008356546,0.9801699716713882,359.0
1 - Mild,0.6612903225806451,0.6029411764705882,0.6307692307692307,68.0
2 - Moderate,0.7478260869565218,0.86,0.7999999999999999,200.0
3 - Severe,0.3877551020408163,0.4634146341463415,0.4222222222222223,41.0
4 - Proliferative DR,0.75,0.515625,0.6111111111111112,64.0
accuracy,0.8346994535519126,0.8346994535519126,0.8346994535519126,0.8346994535519126
macro avg,0.7087979334395159,0.6811538222905169,0.6888545071547905,732.0
weighted avg,0.8420714977840121,0.8346994535519126,0.8349665980116917,732.0
