,precision,recall,f1-score,support
0 - No DR,0.9887640449438202,0.9805013927576601,0.9846153846153844,359.0
1 - Mild,0.5897435897435898,0.6764705882352942,0.6301369863013699,68.0
2 - Moderate,0.7593582887700535,0.71,0.7338501291989665,200.0
3 - Severe,0.24444444444444444,0.5365853658536586,0.33587786259541985,41.0
4 - Proliferative DR,0.7142857142857143,0.234375,0.35294117647058826,64.0
accuracy,0.7882513661202186,0.7882513661202186,0.7882513661202186,0.7882513661202186
macro avg,0.6593192164375244,0.6275864693693226,0.6074843078363459,732.0
weighted avg,0.8233292649288445,0.7882513661202186,0.7916058629040155,732.0
